group,Event name,Event count,Event count per active user,Average engagement time per session,Bounce rate,
,,1375,10.338345864661700,42.17741935483870,0.41397849462365600,Grand total
(not set),page_view,382,2.8721804511278200,0,0.39779005524861900,
(not set),scroll,331,2.9035087719298200,2.519230769230770,0.32051282051282100,
(not set),user_engagement,241,4.82,70.18072289156630,0.14457831325301200,
(not set),session_start,186,1.3984962406015000,0,0.41397849462365600,
(not set),first_visit,133,1,0,0.44360902255639100,
(not set),form_start,59,2.6818181818181800,45.44117647058820,0.029411764705882400,
blue-small,bounce_detected,15,15,3,0,
red-small,bounce_detected,9,9,2,0,
blue-large,enter_feature_page,5,2.5,25,0,
blue-large,reach_last_tab,3,1.5,1.5,0,
blue-large,apply_transformation_click,2,2,11,0,
blue-small,enter_feature_page,2,2,4,0,
red-large,enter_feature_page,2,2,0,0,
red-small,enter_feature_page,2,2,3,0,
blue-small,apply_transformation_click,1,1,2,0,
blue-small,reach_last_tab,1,1,2,0,
red-small,reach_last_tab,1,1,2,0,
